Source Name	Comment[update information]	Comment[ENA_SAMPLE]	Material Type	Characteristics[organism]	Characteristics[specimen with known storage state]	Characteristics[cell line]	Characteristics[cell type]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[LIBRARY_SELECTION]	Comment[ORIENTATION]	Comment[NOMINAL_LENGTH]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[SPOT_LENGTH]	Comment[READ_INDEX_1_BASE_COORD]	Comment[SPOT_LENGTH]	Comment[READ_INDEX_1_BASE_COORD]	FactorValue[growth condition]
2i_3_59	  	ERS1032058	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_3_59	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_3_59_	sequencing assay	ERX1283485	Teichmann_2i_3_59_2.fastq.gz	Teichmann_2i_3_59_2.fastq.gz	ERR1211234	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/004/ERR1211234/ERR1211234_2.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_3_6	  	ERS1032005	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_3_6	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_3_6_	sequencing assay	ERX1283432	Teichmann_2i_3_6_1.fastq.gz	Teichmann_2i_3_6_1.fastq.gz	ERR1211181	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/001/ERR1211181/ERR1211181_1.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_3_6	  	ERS1032005	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_3_6	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_3_6_	sequencing assay	ERX1283432	Teichmann_2i_3_6_2.fastq.gz	Teichmann_2i_3_6_2.fastq.gz	ERR1211181	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/001/ERR1211181/ERR1211181_2.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_3_60	  	ERS1032059	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_3_60	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_3_60_	sequencing assay	ERX1283486	Teichmann_2i_3_60_1.fastq.gz	Teichmann_2i_3_60_1.fastq.gz	ERR1211235	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/005/ERR1211235/ERR1211235_1.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_3_60	  	ERS1032059	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_3_60	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_3_60_	sequencing assay	ERX1283486	Teichmann_2i_3_60_2.fastq.gz	Teichmann_2i_3_60_2.fastq.gz	ERR1211235	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/005/ERR1211235/ERR1211235_2.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_3_61	  	ERS1032060	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_3_61	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_3_61_	sequencing assay	ERX1283487	Teichmann_2i_3_61_1.fastq.gz	Teichmann_2i_3_61_1.fastq.gz	ERR1211236	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/006/ERR1211236/ERR1211236_1.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_3_61	  	ERS1032060	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_3_61	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_3_61_	sequencing assay	ERX1283487	Teichmann_2i_3_61_2.fastq.gz	Teichmann_2i_3_61_2.fastq.gz	ERR1211236	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/006/ERR1211236/ERR1211236_2.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_3_62	  	ERS1032061	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_3_62	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_3_62_	sequencing assay	ERX1283488	Teichmann_2i_3_62_1.fastq.gz	Teichmann_2i_3_62_1.fastq.gz	ERR1211237	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/007/ERR1211237/ERR1211237_1.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_3_62	  	ERS1032061	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_3_62	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_3_62_	sequencing assay	ERX1283488	Teichmann_2i_3_62_2.fastq.gz	Teichmann_2i_3_62_2.fastq.gz	ERR1211237	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/007/ERR1211237/ERR1211237_2.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_3_63	  	ERS1032062	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_3_63	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_3_63_	sequencing assay	ERX1283489	Teichmann_2i_3_63_1.fastq.gz	Teichmann_2i_3_63_1.fastq.gz	ERR1211238	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/008/ERR1211238/ERR1211238_1.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_3_63	  	ERS1032062	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_3_63	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_3_63_	sequencing assay	ERX1283489	Teichmann_2i_3_63_2.fastq.gz	Teichmann_2i_3_63_2.fastq.gz	ERR1211238	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/008/ERR1211238/ERR1211238_2.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_3_64	  	ERS1032063	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_3_64	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_3_64_	sequencing assay	ERX1283490	Teichmann_2i_3_64_1.fastq.gz	Teichmann_2i_3_64_1.fastq.gz	ERR1211239	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/009/ERR1211239/ERR1211239_1.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_3_64	  	ERS1032063	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_3_64	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_3_64_	sequencing assay	ERX1283490	Teichmann_2i_3_64_2.fastq.gz	Teichmann_2i_3_64_2.fastq.gz	ERR1211239	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/009/ERR1211239/ERR1211239_2.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_3_65	  	ERS1032064	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_3_65	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_3_65_	sequencing assay	ERX1283491	Teichmann_2i_3_65_1.fastq.gz	Teichmann_2i_3_65_1.fastq.gz	ERR1211240	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/000/ERR1211240/ERR1211240_1.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_3_65	  	ERS1032064	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_3_65	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_3_65_	sequencing assay	ERX1283491	Teichmann_2i_3_65_2.fastq.gz	Teichmann_2i_3_65_2.fastq.gz	ERR1211240	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/000/ERR1211240/ERR1211240_2.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_3_66	  	ERS1032065	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_3_66	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_3_66_	sequencing assay	ERX1283492	Teichmann_2i_3_66_1.fastq.gz	Teichmann_2i_3_66_1.fastq.gz	ERR1211241	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/001/ERR1211241/ERR1211241_1.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_3_66	  	ERS1032065	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_3_66	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_3_66_	sequencing assay	ERX1283492	Teichmann_2i_3_66_2.fastq.gz	Teichmann_2i_3_66_2.fastq.gz	ERR1211241	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/001/ERR1211241/ERR1211241_2.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_3_67	  	ERS1032066	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_3_67	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_3_67_	sequencing assay	ERX1283493	Teichmann_2i_3_67_1.fastq.gz	Teichmann_2i_3_67_1.fastq.gz	ERR1211242	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/002/ERR1211242/ERR1211242_1.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_3_67	  	ERS1032066	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_3_67	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_3_67_	sequencing assay	ERX1283493	Teichmann_2i_3_67_2.fastq.gz	Teichmann_2i_3_67_2.fastq.gz	ERR1211242	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/002/ERR1211242/ERR1211242_2.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_3_68	  	ERS1032067	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_3_68	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_3_68_	sequencing assay	ERX1283494	Teichmann_2i_3_68_1.fastq.gz	Teichmann_2i_3_68_1.fastq.gz	ERR1211243	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/003/ERR1211243/ERR1211243_1.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_3_68	  	ERS1032067	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_3_68	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_3_68_	sequencing assay	ERX1283494	Teichmann_2i_3_68_2.fastq.gz	Teichmann_2i_3_68_2.fastq.gz	ERR1211243	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/003/ERR1211243/ERR1211243_2.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_3_69	  	ERS1032068	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_3_69	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_3_69_	sequencing assay	ERX1283495	Teichmann_2i_3_69_1.fastq.gz	Teichmann_2i_3_69_1.fastq.gz	ERR1211244	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/004/ERR1211244/ERR1211244_1.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_3_69	  	ERS1032068	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_3_69	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_3_69_	sequencing assay	ERX1283495	Teichmann_2i_3_69_2.fastq.gz	Teichmann_2i_3_69_2.fastq.gz	ERR1211244	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/004/ERR1211244/ERR1211244_2.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_3_7	  	ERS1032006	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_3_7	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_3_7_	sequencing assay	ERX1283433	Teichmann_2i_3_7_1.fastq.gz	Teichmann_2i_3_7_1.fastq.gz	ERR1211182	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/002/ERR1211182/ERR1211182_1.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_3_7	  	ERS1032006	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_3_7	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_3_7_	sequencing assay	ERX1283433	Teichmann_2i_3_7_2.fastq.gz	Teichmann_2i_3_7_2.fastq.gz	ERR1211182	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/002/ERR1211182/ERR1211182_2.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_3_70	  	ERS1032069	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_3_70	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_3_70_	sequencing assay	ERX1283496	Teichmann_2i_3_70_1.fastq.gz	Teichmann_2i_3_70_1.fastq.gz	ERR1211245	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/005/ERR1211245/ERR1211245_1.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_3_70	  	ERS1032069	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_3_70	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_3_70_	sequencing assay	ERX1283496	Teichmann_2i_3_70_2.fastq.gz	Teichmann_2i_3_70_2.fastq.gz	ERR1211245	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/005/ERR1211245/ERR1211245_2.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_3_71	  	ERS1032070	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_3_71	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_3_71_	sequencing assay	ERX1283497	Teichmann_2i_3_71_1.fastq.gz	Teichmann_2i_3_71_1.fastq.gz	ERR1211246	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/006/ERR1211246/ERR1211246_1.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_3_71	  	ERS1032070	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_3_71	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_3_71_	sequencing assay	ERX1283497	Teichmann_2i_3_71_2.fastq.gz	Teichmann_2i_3_71_2.fastq.gz	ERR1211246	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/006/ERR1211246/ERR1211246_2.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_3_72	  	ERS1032071	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_3_72	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_3_72_	sequencing assay	ERX1283498	Teichmann_2i_3_72_1.fastq.gz	Teichmann_2i_3_72_1.fastq.gz	ERR1211247	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/007/ERR1211247/ERR1211247_1.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_3_72	  	ERS1032071	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_3_72	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_3_72_	sequencing assay	ERX1283498	Teichmann_2i_3_72_2.fastq.gz	Teichmann_2i_3_72_2.fastq.gz	ERR1211247	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/007/ERR1211247/ERR1211247_2.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_3_73	  	ERS1032072	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_3_73	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_3_73_	sequencing assay	ERX1283499	Teichmann_2i_3_73_1.fastq.gz	Teichmann_2i_3_73_1.fastq.gz	ERR1211248	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/008/ERR1211248/ERR1211248_1.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_3_73	  	ERS1032072	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_3_73	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_3_73_	sequencing assay	ERX1283499	Teichmann_2i_3_73_2.fastq.gz	Teichmann_2i_3_73_2.fastq.gz	ERR1211248	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/008/ERR1211248/ERR1211248_2.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_3_74	  	ERS1032073	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_3_74	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_3_74_	sequencing assay	ERX1283500	Teichmann_2i_3_74_1.fastq.gz	Teichmann_2i_3_74_1.fastq.gz	ERR1211249	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/009/ERR1211249/ERR1211249_1.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_3_74	  	ERS1032073	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_3_74	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_3_74_	sequencing assay	ERX1283500	Teichmann_2i_3_74_2.fastq.gz	Teichmann_2i_3_74_2.fastq.gz	ERR1211249	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/009/ERR1211249/ERR1211249_2.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_3_75	  	ERS1032074	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_3_75	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_3_75_	sequencing assay	ERX1283501	Teichmann_2i_3_75_1.fastq.gz	Teichmann_2i_3_75_1.fastq.gz	ERR1211250	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/000/ERR1211250/ERR1211250_1.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_3_75	  	ERS1032074	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_3_75	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_3_75_	sequencing assay	ERX1283501	Teichmann_2i_3_75_2.fastq.gz	Teichmann_2i_3_75_2.fastq.gz	ERR1211250	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/000/ERR1211250/ERR1211250_2.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_3_76	  	ERS1032075	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_3_76	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_3_76_	sequencing assay	ERX1283502	Teichmann_2i_3_76_1.fastq.gz	Teichmann_2i_3_76_1.fastq.gz	ERR1211251	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/001/ERR1211251/ERR1211251_1.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_3_76	  	ERS1032075	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_3_76	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_3_76_	sequencing assay	ERX1283502	Teichmann_2i_3_76_2.fastq.gz	Teichmann_2i_3_76_2.fastq.gz	ERR1211251	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/001/ERR1211251/ERR1211251_2.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_3_77	  	ERS1032076	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_3_77	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_3_77_	sequencing assay	ERX1283503	Teichmann_2i_3_77_1.fastq.gz	Teichmann_2i_3_77_1.fastq.gz	ERR1211252	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/002/ERR1211252/ERR1211252_1.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_3_77	  	ERS1032076	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_3_77	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_3_77_	sequencing assay	ERX1283503	Teichmann_2i_3_77_2.fastq.gz	Teichmann_2i_3_77_2.fastq.gz	ERR1211252	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/002/ERR1211252/ERR1211252_2.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_3_78	  	ERS1032077	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_3_78	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_3_78_	sequencing assay	ERX1283504	Teichmann_2i_3_78_1.fastq.gz	Teichmann_2i_3_78_1.fastq.gz	ERR1211253	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/003/ERR1211253/ERR1211253_1.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_3_78	  	ERS1032077	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_3_78	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_3_78_	sequencing assay	ERX1283504	Teichmann_2i_3_78_2.fastq.gz	Teichmann_2i_3_78_2.fastq.gz	ERR1211253	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/003/ERR1211253/ERR1211253_2.fastq.gz	200	101	100	101	standard 2i media + LIF
